Price,Open,High,Low,Change %
1.0124,1.0132,1.0295,1.0081,-1.93%
0.996,1.0142,1.0419,0.9881,-1.62%
0.9841,1.0122,1.024,0.9506,-1.19%
0.905,0.9615,1.0041,0.9009,-8.04%
0.8659,0.9091,0.9993,0.8264,-4.32%
0.8645,0.8621,0.9179999999999999,0.8264,-0.16%
0.8625,0.8637,0.9201,0.8573,-0.23%
0.8536,0.862,0.8654,0.8525,-1.03%
0.8236,0.8539,0.8658,0.8228,-3.51%
0.7857,0.8262,0.868,0.7857,-4.60%
0.7461,0.7823,0.8169,0.7461,-5.04%
0.7181,0.7469,0.7552,0.7177,-3.75%
0.7082,0.7173,0.9824,0.7045,-1.38%
0.6878,0.7075,0.7075,0.6878,-2.88%
0.6779999999999999,0.7018,0.7070000000000001,0.6779999999999999,-1.42%
0.6687,0.6781,0.7567,0.6687,-1.37%
0.6682,0.6678,0.7558,0.6568,-0.07%
0.6843,0.6653,0.6861,0.6653,2.41%
0.6914,0.6837,0.6926,0.6818,1.04%
0.6989,0.6901,0.6992,0.6863,1.08%
0.6999,0.6958,0.7009,0.6777,0.14%
0.6985,0.6863,0.7018,0.6863,-0.20%
0.6987,0.6984,0.7075,0.6862,0.03%
0.7006,0.6970000000000001,0.7064,0.6901,0.27%
0.7038,0.7006,0.8639,0.6904,0.46%
0.7077,0.7047,0.7082,0.6722,0.55%
0.6993,0.7074,0.7074,0.6956,-1.19%
0.6932,0.6993,0.7034,0.6909,-0.87%
0.6953,0.6926,0.7051,0.6848,0.30%
0.6970000000000001,0.6903,0.7028,0.6855,0.24%
0.7017,0.6988,0.7046,0.6874,0.67%
0.6964,0.7035,0.7049,0.6920000000000001,-0.76%
0.6901,0.6966,0.705,0.6868,-0.90%
0.6714,0.6901,0.7014,0.6712,-2.71%
0.639,0.6718,0.6784,0.637,-4.83%
0.6647,0.639,0.6701,0.6339,4.02%
0.6616,0.6601,0.6622,0.6473,-0.47%
0.6616,0.6564,0.6706,0.6551,0.00%
0.6627,0.6616,0.6659999999999999,0.6589,0.17%
0.6581,0.6627,0.6653,0.6586,-0.69%
0.6599,0.6581,0.6653,0.6579,0.27%
0.6528,0.6618,0.6636,0.6483,-1.08%
0.6227,0.6525,0.6554,0.6237,-4.61%
0.6263,0.6296,0.6302,0.6088,0.58%
0.5995,0.6254,0.6281,0.5997,-4.28%
0.609,0.5988,0.6146,0.6017,1.58%
0.5935,0.609,0.61,0.5708,-2.55%
0.5865,0.5936,0.595,0.5821,-1.18%
0.5618,0.5874,0.5883,0.5615,-4.21%
0.5381,0.5558,0.5644,0.5361,-4.22%
0.5248,0.5391,0.5411,0.5231,-2.47%
0.5141,0.5282,0.5306,0.5145,-2.04%
0.5107,0.5167,0.5171,0.5092,-0.66%
0.5166,0.5117,0.5202,0.5099,1.16%
0.5265,0.5174,0.529,0.515,1.92%
0.5283,0.5222,0.534,0.5197,0.34%
0.5246,0.5289,0.5347,0.5218,-0.70%
0.5247,0.5252,0.5325,0.5242,0.02%
0.5247,0.5245,0.5315,0.5219,0.00%
0.5208,0.5241,0.5301,0.5203,-0.74%
0.5155,0.5241,0.5266,0.5141,-1.02%
0.5058,0.5155,0.5188,0.5063,-1.88%
0.5,0.5064,0.5121,0.5,-1.15%
0.4914,0.5006,0.5034,0.4896,-1.72%
0.4773,0.4902,0.4979,0.4785,-2.87%
0.4657,0.4808,0.4872,0.46399999999999997,-2.43%
0.4556,0.46399999999999997,0.469,0.4565,-2.17%
0.4505,0.4588,0.4627,0.4505,-1.13%
0.4367,0.4525,0.4553,0.4358,-3.05%
0.4202,0.4415,0.4417,0.4229,-3.78%
0.4184,0.4311,0.4336,0.4049,-0.43%
0.3861,0.4202,0.4202,0.3873,-7.72%
0.3714,0.3922,0.3961,0.3704,-3.81%
0.3521,0.3677,0.3728,0.3516,-5.20%
0.3273,0.3528,0.3534,0.3252,-7.04%
0.2985,0.3338,0.3473,0.2941,-8.80%
0.2874,0.3026,0.3325,0.2692,-3.72%
0.2632,0.2898,0.298,0.2556,-8.42%
0.3021,0.26,0.3126,0.2578,14.78%
0.3096,0.304,0.3178,0.3022,2.48%
0.3106,0.3106,0.3165,0.3079,0.32%
0.3142,0.3122,0.3178,0.3082,1.16%
0.3003,0.3135,0.3178,0.2844,-4.42%
0.2849,0.3047,0.3082,0.2841,-5.13%
0.2597,0.2857,0.28800000000000003,0.2591,-8.85%
0.2584,0.2611,0.2653,0.2581,-0.50%
0.2451,0.2598,0.2639,0.24100000000000002,-5.15%
0.2282,0.2488,0.2501,0.2256,-6.90%
0.2618,0.2305,0.3166,0.2273,14.75%
0.2564,0.2618,0.2819,0.2279,-2.06%
0.2653,0.2564,0.2766,0.2413,3.45%
0.2651,0.2636,0.278,0.2539,-0.08%
0.265,0.2628,0.2711,0.2555,-0.02%
0.2618,0.2612,0.2706,0.2587,-1.23%
0.2519,0.2625,0.2664,0.2419,-3.78%
0.2547,0.2522,0.2614,0.2451,1.11%
0.2597,0.2522,0.2671,0.2494,1.96%
0.2626,0.2605,0.2664,0.251,1.12%
0.2597,0.2611,0.2664,0.2535,-1.10%
0.2519,0.2575,0.2641,0.2503,-3.00%
0.2567,0.2531,0.2619,0.2495,1.93%
0.2523,0.2522,0.2646,0.2483,-1.73%
0.2509,0.253,0.2646,0.2464,-0.55%
0.2506,0.2501,0.2594,0.2461,-0.12%
0.2338,0.2515,0.2664,0.2233,-6.72%
0.2309,0.2381,0.2533,0.2251,-1.22%
0.2285,0.2324,0.2421,0.2262,-1.04%
0.2123,0.2336,0.2348,0.2114,-7.09%
0.2307,0.213,0.2373,0.2079,8.67%
0.237,0.2299,0.2461,0.2275,2.75%
0.2312,0.24100000000000002,0.243,0.2218,-2.49%
0.2262,0.2313,0.2353,0.2236,-2.14%
0.2273,0.2264,0.2331,0.2242,0.49%
0.2247,0.2264,0.2333,0.2234,-1.14%
0.2261,0.2257,0.2305,0.2209,0.62%
0.2255,0.2257,0.2295,0.2209,-0.27%
0.2193,0.2279,0.2283,0.215,-2.75%
0.2196,0.2198,0.2269,0.2189,0.14%
0.2217,0.2203,0.2235,0.2184,0.96%
0.2217,0.2197,0.228,0.2197,0.00%
0.2258,0.2231,0.2275,0.2222,1.85%
0.222,0.2264,0.2273,0.2217,-1.68%
0.2111,0.2222,0.2257,0.2111,-4.91%
0.2077,0.2115,0.2159,0.2062,-1.61%
0.2112,0.2092,0.2124,0.2062,1.69%
0.21100000000000002,0.21100000000000002,0.213,0.2039,-0.09%
0.2092,0.2077,0.2121,0.1998,-0.85%
0.2071,0.2081,0.2123,0.2008,-1.00%
0.204,0.20600000000000002,0.2092,0.2,-1.50%
0.207,0.2039,0.2104,0.1999,1.47%
